945.00	-1.95
946.00	0.71
947.00	-0.63
948.00	0.24
949.00	-1.23
950.00	-0.66
951.00	1.65
952.00	-0.68
953.00	-1.19
954.00	0.01
955.00	-0.33
956.00	0.30
957.00	0.86
958.00	-1.25
959.00	-0.08
960.00	1.06
961.00	-1.60
962.00	0.26
963.00	-1.01
964.00	0.01
965.00	-1.67
966.00	-0.67
967.00	-0.09
968.00	-1.00
969.00	-0.60
970.00	-0.59
971.00	-0.15
972.00	-2.16
973.00	-1.13
974.00	-1.42
975.00	-0.77
976.00	-0.88
977.00	-0.50
978.00	-1.05
979.00	0.04
980.00	0.07
981.00	1.03
982.00	-0.59
983.00	-0.35
984.00	1.36
985.00	0.42
986.00	-0.88
987.00	1.07
988.00	1.62
989.00	-0.16
990.00	-1.21
991.00	0.35
992.00	-0.18
993.00	0.98
994.00	0.66
995.00	-0.80
996.00	-2.14
997.00	-1.09
998.00	-1.03
999.00	-1.51
1000.00	0.53
